Supplementary table 2_5: Pearson correlation results of N-scRNA																																																										
Overall				Human-specific																	Common																						Chimpanzee-specific															
Hspecific	Common	Cspecific		cortical neurons		GM/S dorsal progenitors/radial glia		mesenchymal-like cells		midbrain/hindbrain	neuroectodermal-like cells		NSC/radial glia		NSCs	stem cells		ventral progenitors and neurons			cortical neurons				GM/S dorsal progenitors/radial glia				mesenchymal-like cells				midbrain/hindbrain	neuroectodermal-like cells	NSC/radial glia	NSCs	stem cells	ventral progenitors and neurons					cortical neurons		GM/S dorsal progenitors/radial glia		mesenchymal-like cells		midbrain/hindbrain	neuroectodermal-like cells		NSC/radial glia		NSCs		stem cells		ventral progenitors and neurons
n = 789	n = 214	n = 268		n = 11		n = 781		n = 9		n = 0	n = 2		n = 11		n = 0	n = 20		n = 62			n = 71				n = 78				n = 13				 n = 0	 n = 0	 n = 1	 n = 0	 n = 0	n = 3					n = 138		n = 30		n = 111		n = 1	n = 12		n = 11		n = 13		n = 47		n = 1
BCL11A	FEZF2	DRAXIN		pos	neg	pos	neg	pos	neg		pos	neg	pos	neg		pos	neg	pos	neg		human		chimp		human		chimp		human		chimp				pos in both species			human		chimp			pos	neg	pos	neg	pos	neg	pos	pos	neg	pos	neg	pos	neg	pos	neg	pos
CLGN	SLC35F1	MAPT				SEPT11	IDH1																																				MALAT1				CADM4											
FBXW7	AP1S2	PRKCA				CCNI	SPAG16																																				MAP6				POLR2F											
KIAA0922	CELF2	SYT4				HNRNPDL	ATIC																																				DLG2				SOX10											
HMGB2	MARCKS	DSEL				H2AFZ	IGFBP5																																				FAT3				S100B											
ING2	RPS26	FLRT3				ANK2	OBSL1																																				ELMOD1															
CENPU	NRXN1	KIF3B				CLGN	DNER																																				SLN															
UBE2QL1	FGF12	YWHAB				FBXW7	ITM2C																																				NCAM1															
SERINC5	MEF2C	APLP1				KIAA0922	EFHD1																																				FXYD6															
TRIM36	DLG2	CACNG8				HMGB2	GPC1																																				CLMP															
CCDC112	FXYD6	RBFOX2				ING2	SRGAP3																																				CELF2															
LMNB1	BTG1	BX005019.1				CENPU	IQSEC1																																				ANK3															
HNRNPA0	TCF4	LINC02197				UBE2QL1	LRRC3B																																				SHTN1															
MXD3	RPL22	AC004158.1				HSPB3	EXOG																																				GRIN2B															
DBN1	RPL11	CXXC4				SERINC5	TMEM42																																				PTPRO															
HNRNPAB	RPS8	SCRG1				TRIM36	CSPG5																																				KIF21A															
DEK	RPL5	BASP1				CCDC112	DALRD3																																				SYT1															
HIST1H1C	RPS27	NPY				LMNB1	QARS																																				MGAT4C															
HIST1H4C	RPS7	NTRK2				HNRNPA0	GPX1																																				NBEA															
HIST1H1E	RPS27A	NIN				MXD3	GNAI2																																				RTN1															
HIST1H1D	RPL31	FGF7				DBN1	MAPKAPK3																																				FLRT2															
TUBB	RPL32	RPS27L				HNRNPAB	SPCS1																																				CALM1															
DDAH2	RPL15	RAB31				DEK	TKT																																				GABPB1-AS1															
KIFC1	RPL14	MT-CO2				HIST1H1C	KCTD6																																				TOX3															
SRSF3	RPL29	AC009570.1				HIST1H4C	FAM107A																																				CALB2															
CCDC167	RPL24	AC092127.2				HIST1H1E	PTPRG																																				MAPT															
RCAN2	RPL35A	FOXD3				HIST1H1D	CADPS																																				PRKCA															
COX7A2	RPL9	MPZ				TUBB	ADAMTS9																																				SYT4															
HDAC2	RPL34	C1orf198				DDAH2	SLC25A26																																				TCF4															
RWDD1	RPS3A	SCCPDH				KIFC1	LRIG1																																				DSEL															
GJA1	RPL37	MAL				SRSF3	ARL6IP5																																				FLRT3															
CENPW	RPS23	ARID5A				CCDC167	BBX																																				KIF3B															
CITED2	RPS14	GPR17				RCAN2	IFT57																																				YWHAB															
FBXO5	RPS18	ARHGAP15				COX7A2	BOC																																				APLP1															
TIAM2	RPL10A	NR4A2				HDAC2	TIMMDC1																																				CACNG8															
TCP1	EEF1A1	ITGA6				RWDD1	GYG1																																				RBFOX2															
NUDT1	RPS12	KCNH8				GJA1	PLCH1																																				BX005019.1															
ACTB	RPL39	TGFBR2				CENPW	VEPH1																																				LINC02197															
SP8	RPL10	BCHE				CITED2	MLF1																																				AC004158.1															
HNRNPA2B1	RPS20	GDNF				FBXO5	RPL22L1																																																			
CBX3	RPL7	PARP8				TIAM2	NLGN1																																																			
PPIA	RPL30	ITGA1				TCP1	ALG3																																																			
H2AFV	RPL8	GFRA3				NUDT1	MAGEF1																																																			
CHCHD2	RPS6	HBEGF				ACTB	MAP3K13																																																			
SRRM3	RPL35	RASGEF1C				SP8	IGF2BP2																																																			
