,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
RHOA4,2.52484358818177e-270,0.452681482389928,0.922,0.718,1.129514027609e-265,7,RHOA
MED30,2.95216813993507e-270,0.359394907437205,0.554,0.292,1.32068193908135e-265,7,MED30
GCA1,3.68338090062845e-270,0.412734051240406,0.508,0.262,1.64779727970515e-265,7,GCA
LHX22,8.5637408002353e-270,0.570716156238136,0.63,0.362,3.83107508439326e-265,7,LHX2
FANCA,8.30223815271454e-269,0.26527463437608,0.258,0.091,3.71408925999838e-264,7,FANCA
HMGN12,1.08440486029275e-264,0.362422521455755,0.988,0.915,4.85119358300565e-260,7,HMGN1
JADE11,1.47876624237606e-263,0.354982341616624,0.614,0.337,6.61540866189354e-259,7,JADE1
PHIP1,2.15841917922397e-261,0.461617450742305,0.853,0.65,9.65590404017636e-257,7,PHIP
SEPT112,3.30646626065026e-258,0.467564686916444,0.907,0.739,1.4791807463645e-253,7,SEPT11
PNRC21,1.12554900947229e-257,0.46515812574153,0.627,0.379,5.03525604877524e-253,7,PNRC2
TMEM237,8.04056963095253e-257,0.346424645222892,0.488,0.248,3.59702923010293e-252,7,TMEM237
SNRPB3,8.64300492736887e-257,0.458040369174303,0.92,0.714,3.86653468430774e-252,7,SNRPB
UCP2,1.04025746453563e-256,0.386545069234574,0.405,0.191,4.6536957933466e-252,7,UCP2
ACTG13,2.77992398033451e-255,0.410574963977213,1,0.997,1.24362679184245e-250,7,ACTG1
CKLF,2.76180016464528e-254,0.483259612845984,0.499,0.266,1.23551892165571e-249,7,CKLF
SUGP2,1.88002542380109e-253,0.36764953141919,0.558,0.307,8.41048173591655e-249,7,SUGP2
PTBP12,1.2814804272145e-252,0.389722233400528,0.681,0.396,5.73283083918677e-248,7,PTBP1
PPIA1,4.06567222907723e-252,0.346863388468033,0.997,0.979,1.81881912839999e-247,7,PPIA
SMC1A,2.64748387710267e-251,0.444541677397551,0.628,0.379,1.18437838726065e-246,7,SMC1A
PPP1R35,2.82054291868915e-251,0.350463178908638,0.392,0.182,1.26179808010478e-246,7,PPP1R35
LRRCC1,1.77567861578327e-249,0.278616397391416,0.306,0.121,7.94367585556805e-245,7,LRRCC1
